,company,year,Price,kms_driven,fuel_type
659,Tata,2017,400000,31000,Petrol
660,Maruti,2009,120000,90000,Diesel
661,Maruti,2009,120000,90000,Diesel
662,Tata,2016,130000,150000,Diesel
663,Chevrolet,2014,189000,31000,Diesel
664,Mahindra,2011,365000,43000,Diesel
665,Hyundai,2013,170000,20000,Petrol
666,Tata,2013,215000,100000,Petrol
667,Tata,2013,60000,7000,Petrol
668,Hyundai,2017,599999,31000,Petrol
669,Hyundai,2009,400000,33000,Petrol
670,Hyundai,2016,900000,60000,Diesel
671,Volkswagen,2013,299999,48000,Diesel
672,Maruti,2014,374999,33000,Petrol
673,Tata,2015,600000,15000,Petrol
674,Maruti,2005,70000,47000,Petrol
675,Maruti,2005,100000,40000,Petrol
676,Maruti,2010,150000,38000,Diesel
677,Maruti,2017,225000,12500,Petrol
678,Maruti,2009,210000,42000,Petrol
679,Hyundai,2014,425000,31000,Petrol
680,Maruti,2008,162000,60000,Diesel
681,Tata,2005,60000,80000,Diesel
682,Mahindra,2014,650000,77000,Diesel
683,Toyota,2012,750000,75000,Diesel
684,Mahindra,2010,375000,40000,Diesel
685,Hyundai,2011,230000,47000,Petrol
686,Mahindra,2016,380000,26500,Petrol
687,Mahindra,2019,560000,2875,Petrol
688,Tata,2005,39999,80000,Diesel
689,Hyundai,2006,85000,60000,Petrol
690,Maruti,2016,395000,20000,Petrol
691,Maruti,2008,175000,58000,Diesel
692,Maruti,2019,400000,1500,Petrol
693,Toyota,2011,750000,75000,Diesel
694,Maruti,2016,250000,2450,Petrol
695,Maruti,2019,425000,1625,Petrol
696,Volkswagen,2017,525000,45000,Petrol
697,Mahindra,2009,130000,65000,Diesel
698,Mahindra,2011,475000,60123,Diesel
699,Chevrolet,2013,300000,28000,Petrol
700,Hyundai,2003,60000,70000,Petrol
701,Maruti,2006,100000,7000,Petrol
702,Hyundai,2018,260000,25000,Petrol
703,Tata,2015,100000,100000,Diesel
704,Toyota,2013,265000,42000,Petrol
705,Hyundai,2009,115000,20000,Petrol
706,Toyota,2003,180000,100000,Diesel
707,Hyundai,2004,45000,137495,Petrol
708,Tata,2016,50500,91200,Diesel
709,Honda,2009,270000,55000,Petrol
710,Tata,2017,290000,120000,Diesel
711,Mahindra,2013,325000,63000,Diesel
712,Tata,2016,160000,104000,Diesel
713,Maruti,2016,350000,146000,Diesel
714,Hyundai,2011,290000,40000,Petrol
715,Hyundai,2011,290000,40000,Petrol
716,Chevrolet,2007,465000,100800,Diesel
717,Maruti,2016,325000,150000,Diesel
718,Hyundai,2018,510000,2100,Petrol
719,Honda,2016,860000,95000,Petrol
720,Maruti,2016,450000,2500,Diesel
721,Hyundai,2006,125000,80000,Petrol
722,Maruti,2005,95000,65000,Petrol
723,Maruti,2009,250000,51000,Diesel
724,Skoda,2009,110000,45000,Petrol
725,Maruti,2011,270000,50000,Petrol
726,Tata,2009,110000,30000,Diesel
727,Toyota,2009,300000,132000,Petrol
728,Tata,2018,260000,27000,Diesel
729,Mahindra,2013,390000,40000,Diesel
